# 8He(0+) -- AV18+UX -- 15-Sep-20

#    pair nnS momentum distribution calculated
#    for 101 q values from 0.001 to 10.000 fm-1
#    using 250 gauss points in r out to 25.00 fm
#    for pairs   1 to  28 with Euler angle
#    sampling of pairs inside r = 50.000 fm

#    total of      50000 samples in blocks of      5000

# Q = relative pair momentum in fm-1
# RHOQNN = neutron-neutron pair momentum distribution in fm**3
# DRHOQNN = Monte Carlo error bar (1 sigma)
# RHOQNP = neutron-proton pair momentum distribution in fm**3
# DRHOQNP = Monte Carlo error bar (1 sigma)
# RHOQPP = proton-proton pair momentum distribution in fm**3
# DRHOQPP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOQNN*Q**2:Q)/(2*PI)**3 =  14.999
# 4*PI*TOTINT(RHOQNP*Q**2:Q)/(2*PI)**3 =  11.999
# 4*PI*TOTINT(RHOQPP*Q**2:Q)/(2*PI)**3 =  .99992
 
#   Q      RHOQNN      DRHOQNN     RHOQNP      DRHOQNP     RHOQPP    DRHOQPP
# ****** ************ ********** ************ ********** *********** *********
  8.9      1.2376E-5  1.0524E-5    1.6076E-5  1.1798E-5   1.9972E-6 1.2547E-6
  9        1.0004E-5  1.026E-5     1.4996E-5  1.1118E-5   1.9237E-6 1.1851E-6
  9.1      1.0146E-5  9.016E-6     1.3573E-5  1.0044E-5   1.7904E-6 1.0762E-6
  9.2      1.0547E-5  7.713E-6     1.2027E-5  8.628E-6    1.6129E-6 9.328E-7
  9.3      8.5031E-6  6.697E-6     1.0325E-5  6.932E-6    1.4052E-6 7.612E-7
  9.4      6.5867E-6  4.644E-6     8.3258E-6  5.024E-6    1.1721E-6 5.6912E-7
  9.5      4.2565E-6  3.201E-6     6.0061E-6  3.0082E-6   9.124E-7  3.667E-7
  9.6      5.6638E-8  3.092E-6     3.4961E-6  1.1855E-6   6.28E-7   1.7886E-7
  9.7     -2.4402E-6  2.2909E-6    9.2026E-7  1.6987E-6   3.2908E-7 2.16E-7
  9.8     -2.762E-6   4.003E-6    -1.6905E-6  3.5674E-6   3.2355E-8 3.9742E-7
  9.9     -4.5182E-6  5.613E-6    -4.2655E-6  5.384E-6   -2.4179E-7 5.7585E-7
 10       -6.7341E-6  6.447E-6    -6.5697E-6  6.987E-6   -4.7503E-7 7.355E-7
