#        q              total             1 term        \delta U term    \delta U^2 term  

     2.845225        2.024302e-03      1.281413e-14     -7.773501e-09      2.024310e-03   
     2.977105        1.662453e-03      2.213851e-16     -1.136579e-09      1.662454e-03   
     3.117134        1.345857e-03      1.464119e-18     -6.986949e-11      1.345857e-03   
     3.264935        1.073175e-03      6.275581e-20      7.526365e-12      1.073175e-03   
     3.420109        8.422815e-04      1.541740e-21      1.892909e-12      8.422815e-04   
     3.582238        6.502725e-04      6.910615e-24      1.286546e-13      6.502725e-04   
     3.750884        4.935789e-04      1.385201e-27     -6.870827e-16      4.935789e-04   
     3.925594        3.681570e-04      1.308997e-28     -4.063212e-16      3.681570e-04   
     4.105897        2.697245e-04      2.965536e-31     -1.788717e-17      2.697245e-04   
     4.291305        1.939988e-04      1.919341e-32     -2.601171e-18      1.939988e-04   
     4.481320        1.369034e-04      9.717015e-32     -4.579328e-18      1.369034e-04   
     4.675429        9.472288e-05      5.679701e-32     -4.613485e-18      9.472288e-05   
     4.873108        6.419850e-05      8.869763e-33     -6.760085e-19      6.419850e-05   
     5.073826        4.257072e-05      1.102497e-32      5.479939e-19      4.257072e-05   
     5.277040        2.757626e-05      6.476920e-33      8.445740e-19      2.757626e-05   
     5.482203        1.741359e-05      2.763248e-32     -1.352525e-19      1.741359e-05   
     5.688763        1.068875e-05      7.544272e-34     -1.217992e-19      1.068875e-05   
     5.896161        6.352062e-06      5.869439e-33     -3.791260e-19      6.352062e-06   
     6.103839        3.633770e-06      1.581461e-33      1.303766e-19      3.633770e-06   
     6.311237        1.984012e-06      4.231630e-33      1.831400e-19      1.984012e-06   
     6.517797        1.020225e-06      1.931734e-33     -8.569812e-20      1.020225e-06   
     6.722960        4.833335e-07      1.189275e-33      3.731665e-20      4.833335e-07   
     6.926174        2.027803e-07      3.996183e-33      2.074419e-20      2.027803e-07   
     7.126892        6.963317e-08      1.590387e-32      5.604523e-20      6.963317e-08   
     7.324571        1.662212e-08      3.228001e-33      1.098285e-20      1.662212e-08   
     7.518680        3.797158e-09      4.082172e-33     -7.659848e-21      3.797158e-09   
     7.708695        8.549240e-09      3.015543e-33     -9.853591e-21      8.549240e-09   
     7.894103        1.888485e-08      1.369229e-32     -2.123887e-20      1.888485e-08   
     8.074406        2.903999e-08      1.072641e-32     -2.660260e-20      2.903999e-08   
     8.249116        3.671729e-08      3.923011e-33     -2.386878e-20      3.671729e-08   
     8.417762        4.141150e-08      7.633930e-33     -3.484024e-20      4.141150e-08   
     8.579891        4.343996e-08      3.658420e-33      1.029239e-20      4.343996e-08   
     8.735065        4.341322e-08      5.589738e-33     -1.908020e-20      4.341322e-08   
     8.882866        4.196905e-08      9.466237e-34     -7.759833e-21      4.196905e-08   
     9.022895        3.965647e-08      4.005421e-33     -2.131746e-20      3.965647e-08   
     9.154775        3.690018e-08      3.610235e-33      5.737522e-21      3.690018e-08   
     9.278150        3.400413e-08      2.837536e-33      8.720680e-21      3.400413e-08   
     9.392688        3.117121e-08      2.290819e-33      1.683782e-20      3.117121e-08   
     9.498080        2.852679e-08      3.779751e-33     -2.043324e-20      2.852679e-08   
     9.594041        2.614046e-08      2.135676e-30     -4.168882e-19      2.614046e-08   
     9.680314        2.404398e-08      6.163662e-28     -6.848731e-18      2.404398e-08   
     9.756665        2.224496e-08      7.689424e-26     -7.376370e-17      2.224496e-08   
     9.822889        2.073688e-08      3.961433e-24     -5.120831e-16      2.073689e-08   
     9.878807        1.950602e-08      1.445513e-22     -3.001742e-15      1.950602e-08   
     9.924269        1.853614e-08      9.284279e-21     -2.345340e-14      1.853616e-08   
     9.959152        1.781152e-08      1.443011e-16     -2.869513e-12      1.781439e-08   
     9.983362        1.731886e-08      2.675880e-19     -1.218883e-13      1.731898e-08   
     9.996840        1.704829e-08      1.980397e-19     -1.040564e-13      1.704839e-08   
