#       k             kp                 O11                    O12                    O21                    O22          
   0.005125       0.743512         2.075736e-09           2.339781e-09           4.195930e-14           -2.285120e-14     
   0.005125       0.799621         2.449261e-09           3.097839e-09           4.395982e-14           -2.737319e-14     
   0.005125       0.856395         2.840752e-09           4.005569e-09           4.538051e-14           -3.202931e-14     
   0.005125       0.913645         3.241337e-09           5.068300e-09           4.624872e-14           -3.669862e-14     
   0.005125       0.971183         3.640876e-09           6.286666e-09           4.659383e-14           -4.126962e-14     
   0.005125       1.028817         4.028366e-09           7.656215e-09           4.646231e-14           -4.563781e-14     
   0.005125       1.086355         4.392411e-09           9.167224e-09           4.591229e-14           -4.971101e-14     
   0.005125       1.143605         4.721767e-09           1.080475e-08           4.499632e-14           -5.341465e-14     
   0.005125       1.200379         5.005890e-09           1.254886e-08           4.377522e-14           -5.668920e-14     
   0.005125       1.256488         5.235483e-09           1.437513e-08           4.231545e-14           -5.949008e-14     
   0.005125       1.311744         5.402970e-09           1.625521e-08           4.068342e-14           -6.178829e-14     
   0.005125       1.365964         5.502884e-09           1.815762e-08           3.894097e-14           -6.357009e-14     
   0.005125       1.418969         5.532147e-09           2.004858e-08           3.713651e-14           -6.483731e-14     
   0.005125       1.470582         5.490197e-09           2.189287e-08           3.529953e-14           -6.560623e-14     
   0.005125       1.520632         5.378998e-09           2.365477e-08           3.348122e-14           -6.589379e-14     
   0.005125       1.568953         5.202899e-09           2.529884e-08           3.175047e-14           -6.571760e-14     
   0.005125       1.615383         4.968385e-09           2.679075e-08           3.005983e-14           -6.512713e-14     
   0.005125       1.659769         4.683726e-09           2.809784e-08           2.846426e-14           -6.414572e-14     
   0.005125       1.701964         4.358547e-09           2.918964e-08           2.699488e-14           -6.280016e-14     
   0.005125       1.741827         4.003365e-09           3.003818e-08           2.559309e-14           -6.113704e-14     
   0.005125       1.779225         3.629088e-09           3.061807e-08           2.426374e-14           -5.918155e-14     
   0.005125       1.814035         3.246534e-09           3.090640e-08           2.299729e-14           -5.695611e-14     
   0.005125       1.846141         2.865963e-09           3.088230e-08           2.176809e-14           -5.447964e-14     
   0.005125       1.875435         2.496641e-09           3.052624e-08           2.053573e-14           -5.176565e-14     
   0.005125       1.901822         2.146451e-09           2.981879e-08           1.928011e-14           -4.881178e-14     
   0.005125       1.925213         1.821528e-09           2.873864e-08           1.804689e-14           -4.558761e-14     
   0.005125       1.945531         1.525914e-09           2.725929e-08           1.665111e-14           -4.209881e-14     
   0.005125       1.962708         1.261166e-09           2.534303e-08           1.520779e-14           -3.825250e-14     
   0.005125       1.976686         1.025773e-09           2.292907e-08           1.352189e-14           -3.398415e-14     
   0.005125       1.987421         8.140242e-10           1.990566e-08           1.161296e-14           -2.908930e-14     
   0.005125       1.994875         6.128471e-10           1.602895e-08           9.293026e-15           -2.319378e-14     
   0.005125       1.999027         3.880886e-10           1.055912e-08           6.098420e-15           -1.519583e-14     
   0.005125       2.001961         5.371848e-10           1.504111e-08           8.663639e-15           -2.156307e-14     
   0.005125       2.010330         7.586655e-10           2.316123e-08           1.323000e-14           -3.284622e-14     
   0.005125       2.025365         8.099613e-10           2.950003e-08           1.661463e-14           -4.103117e-14     
   0.005125       2.047037         6.996750e-10           3.522635e-08           1.954321e-14           -4.763432e-14     
   0.005125       2.075299         4.093377e-10           4.077798e-08           2.220736e-14           -5.317770e-14     
   0.005125       2.110086         -8.989799e-11          4.638481e-08           2.478736e-14           -5.788036e-14     
   0.005125       2.151322         -8.339028e-10          5.218547e-08           2.748772e-14           -6.183854e-14     
   0.005125       2.198915         -1.864163e-09          5.826589e-08           3.048462e-14           -6.510384e-14     
   0.005125       2.252758         -3.226446e-09          6.467405e-08           3.392045e-14           -6.771625e-14     
   0.005125       2.312731         -4.968993e-09          7.142550e-08           3.788449e-14           -6.972859e-14     
   0.005125       2.378700         -7.140039e-09          7.850481e-08           4.289727e-14           -7.111359e-14     
   0.005125       2.450518         -9.784598e-09          8.586519e-08           4.879865e-14           -7.201411e-14     
   0.005125       2.528026         -1.294052e-08          9.342774e-08           5.620587e-14           -7.243846e-14     
   0.005125       2.611049         -1.663407e-08          1.010811e-07           6.487149e-14           -7.261196e-14     
   0.005125       2.699403         -2.087519e-08          1.086824e-07           7.524089e-14           -7.264090e-14     
   0.005125       2.792891         -2.565300e-08          1.160595e-07           8.747417e-14           -7.272109e-14     
   0.005125       2.891303         -3.093188e-08          1.230165e-07           1.012758e-13           -7.316159e-14     
   0.005125       2.994421         -3.664876e-08          1.293405e-07           1.165307e-13           -7.423354e-14     
   0.005125       3.102014         -4.271196e-08          1.348113e-07           1.330146e-13           -7.621613e-14     
   0.005125       3.213842         -4.900207e-08          1.392137e-07           1.508401e-13           -3.842943e-16     
   0.005125       3.329656         -5.537482e-08          1.423502e-07           1.690554e-13           -4.402477e-16     
   0.005125       3.449197         -6.166609e-08          1.440550e-07           1.869618e-13           -4.975283e-16     
   0.005125       3.572198         -6.769854e-08          1.442068e-07           2.038028e-13           -5.543675e-16     
   0.005125       3.698386         -7.328962e-08          1.427400e-07           2.193508e-13           -6.087868e-16     
   0.005125       3.827477         -7.826029e-08          1.396528e-07           2.329928e-13           -6.587381e-16     
   0.005125       3.959186         -8.244393e-08          1.350105e-07           2.432926e-13           -7.022773e-16     
   0.005125       4.093216         -8.569474e-08          1.289446e-07           2.502726e-13           -7.377626e-16     
