AV18+UX
4He Total momentum distributions for all r     28 May 2022

    pair NNS momentum distribution calculated for
     101 q values from 0.001 to 10.000 fm-1 and
      26 Q values from 0.001 to  5.000 fm-1
    for pairs   1 to   6
    using  64 gauss points in r out to 16.00 fm
    using  32 gauss points in R out to  8.00 fm
    with Euler angle sampling
    integrated over all q.Q
    with partitions r <=  2.50 fm & r >  2.50

    total of     100000 samples in blocks of    100000

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  512.06
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  104.39
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
 1.9        46.432        .86388         .38964       .20822
 2          39.659        .71736         .43876       .17141
 2.1        34.117        .59078         .55539       .14058
 2.2        29.405        .48156         .66376       .11406
 2.3        25.314        .38841         .73593       .09169
 2.4        21.756        .3124          .77309       .073566
 2.5        18.694        .25155         .78767       .059179
 2.6        16.077        .20356         .78779       .047875
 2.7        13.845        .16606         .77626       .038897
 2.8        11.94         .13635         .75412       .031621
 2.9        10.3          .11327         .72097       .025903
 3           8.8687       .095506        .67659       .021458
 3.1         7.6116       .081838        .62365       .018032
 3.2         6.5148       .07109         .56697       .015421
 3.3         5.567        .062629        .51083       .013434
 3.4         4.7521       .055868        .45747       .011901
 3.5         4.0506       .05022         .40704       .01066
 3.6         3.4439       .04522         .35909       .0095992
 3.7         2.9198       .040712        .31441       .0086613
 3.8         2.4705       .036528        .27434       .007792
 3.9         2.0853       .032658        .23865       .0069963
 4           1.753        .029054        .20617       .0062552
 4.1         1.4677       .025707        .17682       .0055795
 4.2         1.2265       .022552        .15114       .0049084
 4.3         1.0227       .019706        .12868       .0043189
 4.4          .84915      .017108        .10875       .0037786
 4.5          .70277      .014702        .091664      .0032612
 4.6          .58185      .012519        .077744      .0027744
 4.7          .48183      .010749        .066105      .0024327
 4.8          .39729      .0091763       .055611      .0021187
 4.9          .32498      .0076922       .046055      .0017959
 5            .26435      .0064447       .037919      .0015125
 5.1          .21603      .0055223       .03158       .0013352
 5.2          .17801      .0048854       .026657      .0012343
 5.3          .14442      .0042993       .022095      .001128
 5.4          .11273      .0045685       .017478      .0012035
 5.5          .087        .0035919       .013529     9.6308E-4
 5.6          .068967     .0052714       .010538      .0014061
 5.7          .055063     .0042035       .0081183     .0011137
 5.8          .045649     .0068361       .006822      .0017312
 5.9          .040822     .0063202       .0066847     .0017021
 6            .029124     .0080568       .004905      .0021218
 
QQ(J) =  .5
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  272.57
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  59.38
 
