Argonne v18 + Urbana X
12C Total momentum distributions for all r     18 May 2021

QQ(J) =  .001
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1569.9
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  603.87
 
  Q(I)     RHOQNP       DRHOQNP       RHOQPP       DRHOQPP
  .1    197594        3023.7       50531         1758.5
  .2    202674        2390.8       68121         1323.1
  .3    202918        1636         82860          827.68
  .4    190692         993.15      85154          447.17
  .5    163502         570.67      74030          244.91
  .6    126093         347.91      55288          161.41
  .7     87192         234.89      36061          111.01
  .8     54290         162.04      20869           71.208
  .9     30714         108.08      10884           44.21
 1       15993          70.08       5198.7         28.306
 1.1      7797.3        45.574      2312.9         19.121
 1.2      3644.6        30.911       974.25        13.623
 1.3      1687.8        22.679       393.7          9.9443
 1.4       808.8        17.964       153.53         7.2428
 1.5       420.98       14.724        57.302        5.3881
 1.6       247.95       12.141        19.911        4.1706
 1.7       169.27       10.1           6.41         3.2797
 1.8       133.65        8.5179        2.7135       2.599
 1.9       117.45        7.2083        2.847        2.104
 2         108.27        6.064         4.0155       1.7258
 2.1        99.786       5.0662        4.951        1.4086
 2.2        89.826       4.207         5.2873       1.1447
 2.3        78.731       3.4801        5.1178        .9359
 2.4        67.677       2.8862        4.6539        .77245
 2.5        57.645       2.3967        4.0689        .63848
 2.6        49.065       1.9655        3.4811        .5225
 2.7        41.895       1.5852        2.9626        .42329
 2.8        35.846       1.2776        2.5382        .3435
 2.9        30.616       1.0452        2.1943        .28138
 3          26.029        .86602       1.9049        .23243
 3.1        22.029        .72289       1.6533        .19324
 3.2        18.609        .60892       1.4353        .16153
 3.3        15.739        .51792       1.2507        .13543
 3.4        13.344        .4438        1.095         .11397
 3.5        11.324        .38321        .95988       .096919
 3.6         9.5935       .33353        .83815       .083836
 3.7         8.0977       .29177        .72683       .073772
 3.8         6.8093       .2555         .62609       .065684
 3.9         5.7114       .2238         .53678       .058896
 4           4.7873       .19611        .4596        .052991
 4.1         4.0163       .17154        .39473       .047596
 4.2         3.3729       .14971        .34088       .042572
 4.3         2.8287       .13102        .2948        .038023
 4.4         2.3594       .11485        .25292       .033854
 4.5         1.9501       .10004        .21369       .02988
 4.6         1.5958       .087062       .17782       .026461
 4.7         1.2945       .076943       .1465        .023954
 4.8         1.0444       .068111       .12014       .021814
 4.9          .84261      .058751       .098755      .019405
 5            .68608      .050266       .082606      .017096
 5.1          .56829      .044665       .071299      .015599
 5.2          .47702      .041166       .062331      .014775
 5.3          .39474      .03804        .051728      .013936
 5.4          .30872      .034748       .038122      .012922
 5.5          .22433      .031987       .026285      .011881
 5.6          .16479      .031325       .023079      .011209
 5.7          .14503      .031389       .027074      .011458
 5.8          .15128      .030676       .027173      .011299
 5.9          .15917      .038431       .017975      .01213
 6            .16259      .045791       .010914      .014662
 
QQ(J) =  .3
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1369.1
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  542
 
  Q(I)     RHOQNP       DRHOQNP        RHOQPP       DRHOQPP
 *****  ************  ***********  *************  ***********
  .001  194026        2882.2       43143          1752.4
  .1    195184        2664.9       50158          1593.8
  .2    196692        2113.7       65897          1199.2
  .3    193229        1452.9       78899           749.9
  .4    178955         886.44      80441           405.16
  .5    152027         510.73      69670           223.15
  .6    116652         311.11      51948           148.43
  .7     80478         210.06      33867           102.37
  .8     50074         145.31      19604            65.536
  .9     28331          97.212     10231            40.563
 1       14753          63.15       4891            25.95
 1.1      7187.3        41.106      2177.2          17.59
 1.2      3349.7        27.905       916.8          12.615
 1.3      1541.1        20.48        369.8           9.2421
 1.4       730.29       16.2         143.6           6.7167
 1.5       374.77       13.247        53.254         4.9765
 1.6       218.12       10.898        18.416         3.8467
 1.7       148.22        9.0473        6.0178        3.0215
 1.8       117.29        7.6205        2.6969        2.3885
 1.9       103.57        6.4495        2.8286        1.9308
 2          95.882       5.4277        3.8536        1.5832
 2.1        88.637       4.5337        4.6539        1.2905
 2.2        79.966       3.7637        4.9213        1.0469
 2.3        70.2         3.1141        4.743          .85506
 2.4        60.408       2.5822        4.3041         .70513
 2.5        51.479       2.1413        3.7566         .58203
 2.6        43.815       1.7534        3.2068         .47566
 2.7        37.394       1.4124        2.7215         .38493
 2.8        31.974       1.1367        2.325          .31205
 2.9        27.299        .92813       2.0061         .25539
 3          23.208        .76819       1.7406         .2109
 3.1        19.648        .64123       1.5118         .17541
 3.2        16.605        .54017       1.3139         .14666
 3.3        14.049        .45939       1.1455         .12296
 3.4        11.914        .39392       1.0028         .10348
 3.5        10.111        .34057        .87861        .08803
 3.6         8.5669       .29692        .76679        .076209
 3.7         7.2324       .26012        .66467        .067145
 3.8         6.0823       .22819        .57223        .059882
 3.9         5.1017       .20018        .49023        .053781
 4           4.2759       .17561        .41933        .04844
 4.1         3.5868       .15375        .35978        .04353
 4.2         3.0119       .1343         .31041        .038934
 4.3         2.5256       .11754        .26821        .034748
 4.4         2.106        .10301        .22989        .030896
 4.5         1.7397       .089701       .19396        .027242
 4.6         1.4221       .078071       .16105        .024105
 4.7         1.152        .068941       .13234        .02179
 4.8          .92833      .060973       .10834        .019824
 4.9          .74892      .052627       .089097       .017651
 5            .61032      .045052       .074673       .015582
 5.1          .50574      .039985       .064469       .014227
 5.2          .4238       .036818       .056179       .013465
 5.3          .34967      .034013       .046443       .012695
 5.4          .27316      .031066       .034249       .011771
 5.5          .19934      .028488       .023816       .010815
 5.6          .14746      .027696       .020999       .010185
 5.7          .12925      .027745       .024439       .010377
 5.8          .13287      .027209       .024415       .010206
 5.9          .13885      .033441       .016091       .010898
 6            .14237      .039417       .0092474      .013104
 
QQ(J) =  .4
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1239.4
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  499.49
 
  Q(I)     RHOQNP       DRHOQNP        RHOQPP        DRHOQPP
 *****  ************  ***********  *************  ************
  .001  193674        2420.2       43740          1532.5
  .1    193016        2241.4       49742          1393.9
  .2    190077        1786         63126          1048.8
  .3    181905        1236.7       73899           655.41
  .4    164893         761.39      74455           354.23
  .5    138082         441.73      64109           196.93
  .6    105073         269.12      47674           132.71
  .7     72190         181.31      31055            91.828
  .8     44848         125.55      17981            58.604
  .9     25369          84.22       9392.9          36.107
 1       13212          54.831      4495.7          23.062
 1.1      6430.5        35.754      2003.2          15.707
 1.2      2986.4        24.332       843.57         11.374
 1.3      1362.6        17.891       339.62          8.3797
 1.4       636.46       14.137       131.26          6.0727
 1.5       320.55       11.532        48.314         4.4766
 1.6       183.63        9.4633       16.637         3.4568
 1.7       124.08        7.8362        5.5754        2.7127
 1.8        98.561       6.5885        2.6954        2.1374
 1.9        87.598       5.5753        2.8125        1.7242
 2          81.518       4.6925        3.6549        1.413
 2.1        75.623       3.9174        4.2856        1.1499
 2.2        68.398       3.2508        4.4662         .93057
 2.3        60.162       2.6908        4.2766         .75891
 2.4        51.842       2.2308        3.8691         .62504
 2.5        44.21        1.8466        3.3692         .51492
 2.6        37.625       1.5089        2.8678         .42001
 2.7        32.088       1.2138        2.4249         .33941
 2.8        27.413        .97489       2.0639         .27474
 2.9        23.39         .79365       1.7764         .22452
 3          19.885        .65558       1.5406         .18531
 3.1        16.843        .54698       1.3396         .15414
 3.2        14.244        .46069       1.166          .1289
 3.3        12.058        .39175       1.0175         .10806
 3.4        10.227        .33621        .89053        .09096
 3.5         8.6803       .29126        .77962        .07743
 3.6         7.3556       .25451        .6799         .067106
 3.7         6.2111       .22351        .58903        .059218
 3.8         5.2244       .19654        .5068         .052929
 3.9         4.3821       .1728         .43377        .047643
 4           3.6723       .15184        .37058        .042981
 4.1         3.0799       .13311        .31751        .038653
 4.2         2.5857       .11641        .27355        .034576
 4.3         2.1678       .10192        .23603        .030821
 4.4         1.8069       .089268       .20203        .027352
 4.5         1.4914       .077718       .17014        .024082
 4.6         1.2174       .067643       .14088        .021278
 4.7          .98431      .059639       .11539        .019188
 4.8          .79205      .052659       .094261       .017427
 4.9          .639        .045479       .077588       .015537
 5            .52137      .03897        .065192       .013757
 5.1          .4321       .034527       .056277       .012574
 5.2          .36104      .031731       .048792       .011886
 5.3          .29651      .029292       .040099       .011199
 5.4          .23127      .026741       .029593       .010382
 5.5          .16987      .0244         .020836       .0095338
 5.6          .12693      .023482       .018501       .0089596
 5.7          .11055      .023494       .021286       .0090771
 5.8          .11124      .023132       .021081       .0088943
 5.9          .11485      .027612       .013726       .0094317
 6            .11778      .032072       .0071109      .011261
 
QQ(J) =  .5
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  1099
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  450.87
 
  Q(I)      RHOQNP       DRHOQNP       RHOQPP        DRHOQPP
 *****  *************  ***********  ************  ************
  .001  193662         1944.8       44344         1297.7
  .1    191079         1804.9       49213         1180.2
  .2    183382         1447.5       59955          887.7
  .3    170066         1013.3       68210          554.23
  .4    149936          633.12      67635          299.88
  .5    123073          372.38      57758          169.03
  .6     92502          227.46      42783          115.85
  .7     63133          152.33      27831           80.43
  .8     39108          105.19      16118           51.127
  .9     22106           70.624      8429.6         31.306
 1       11513           46.076      4041.7         19.941
 1.1      5599.1         30.141      1803.9         13.669
 1.2      2590.9         20.618       760.26        10.028
 1.3      1171.6         15.227       305.77         7.4426
 1.4       538.37        12.035       117.71         5.3758
 1.5       265.31         9.798        43.042        3.9414
 1.6       149.22         8.0233       14.813        3.0444
 1.7       100.28         6.6269        5.162        2.3886
 1.8        80.104        5.5575        2.7231       1.8746
 1.9        71.741        4.6968        2.8035       1.5077
 2          67.102        3.9515        3.4392       1.2346
 2.1        62.437        3.2961        3.8819       1.0028
 2.2        56.597        2.7338        3.9658        .80911
 2.3        49.881        2.2644        3.7628        .65843
 2.4        43.052        1.8772        3.39          .5413
 2.5        36.746        1.5506        2.9437        .4449
 2.6        31.27         1.2641        2.4973        .36206
 2.7        26.644        1.0156        2.1027        .29204
 2.8        22.735         .81391       1.7821        .23589
 2.9        19.384         .66002       1.5297        .1924
 3          16.48          .54342       1.3264        .15863
 3.1        13.969         .4528        1.1553        .13195
 3.2        11.824         .38112       1.0078        .11035
 3.3        10.015         .32402        .88031       .09251
 3.4         8.4957        .27839        .77016       .077906
 3.5         7.211         .24181        .6735        .066374
 3.6         6.1112        .21195        .58678       .057592
 3.7         5.1616        .18668        .50805       .050917
 3.8         4.3426        .16463        .43687       .045625
 3.9         3.6427        .14513        .37357       .041177
 4           3.052         .1278         .3187        .037219
 4.1         2.5589        .11224        .27259       .033512
 4.2         2.1475        .098311       .23438       .029977
 4.3         1.7997        .086126       .20185       .026687
 4.4         1.4994        .075387       .17244       .023625
 4.5         1.2364        .065623       .1449        .020758
 4.6         1.0075        .057102       .11962       .018301
 4.7          .81283       .050229       .097633      .016445
 4.8          .65305       .044231       .0796        .014896
 4.9          .52701       .038225       .06561       .013302
 5            .43061       .032798       .055285      .011826
 5.1          .35674       .02899        .047673      .010825
 5.2          .29669       .026556       .04103       .010216
 5.3          .24204       .024476       .033443      .0096169
 5.4          .1884        .022325       .024703      .0089145
 5.5          .13963       .020265       .017683      .0081844
 5.6          .1057        .019261       .015857      .0076792
 5.7          .091291      .019216       .017978      .0077127
 5.8          .089214      .018969       .017553      .0075172
 5.9          .090165      .021746       .011111      .0079161
 6            .091652      .024824       .004694      .0093747
 
QQ(J) =  .6
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  958.46
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  399.16
 
  Q(I)      RHOQNP       DRHOQNP        RHOQPP        DRHOQPP
 *****  *************  ***********  *************  ************
  .001  192894         1501.5       44653          1067.6
  .1    188532         1397.1       48371           970.93
  .2    176399         1129.8       56422           729.79
  .3    158208          803.04      62103           455.06
  .4    135057          512.75      60380           246.81
  .5    108111          308.29      51013           141.8
  .6     79912          189.61      37588            99.096
  .7     54018          125.73      24402            69.043
  .8     33308           86.064     14134            43.701
  .9     18799           57.662      7403.1          26.571
 1        9789.6         37.687      3558            16.861
 1.1      4759.1         24.783      1592.2          11.651
 1.2      2195.6         17.105       672.54          8.6892
 1.3       984.6         12.731       270.73          6.5052
 1.4       445.21        10.085       104.09          4.6823
 1.5       214.61         8.2024       37.969         3.4158
 1.6       118.52         6.7087       13.17          2.6448
 1.7        79.342        5.528         4.8501        2.0775
 1.8        63.849        4.6187        2.7907        1.6229
 1.9        57.612        3.8922        2.8048        1.2998
 2          54.073        3.2692        3.2242        1.0628
 2.1        50.374        2.7238        3.4762         .86142
 2.2        45.711        2.2584        3.4612         .69267
 2.3        40.347        1.8721        3.2431         .56199
 2.4        34.879        1.5519        2.9051         .46086
 2.5        29.801        1.2793        2.5141         .3778
 2.6        25.359        1.0407        2.1254         .30671
 2.7        21.585         .83512       1.7817         .24683
 2.8        18.394         .66805       1.5037         .19887
 2.9        15.669         .53947       1.2875         .16182
 3          13.323         .44225       1.1167         .13327
 3.1        11.303         .3676         .97497        .11083
 3.2         9.5782        .30904        .85268        .092685
 3.3         8.1185        .26267        .74574        .077732
 3.4         6.8879        .22601        .65206        .065519
 3.5         5.8456        .19691        .56943        .055885
 3.6         4.954         .17317        .49553        .04855
 3.7         4.1853        .15301        .42878        .04299
 3.8         3.5222        .13533        .36854        .03861
 3.9         2.9547        .11962        .31489        .034936
 4           2.475         .10557        .26827        .031645
 4.1         2.074         .092909       .22899        .028529
 4.2         1.7396        .081552       .1964         .025526
 4.3         1.4571        .071504       .16869        .022691
 4.4         1.2131        .062573       .14376        .020033
 4.5          .99932       .054482       .12052        .017557
 4.6          .8129        .0474         .099216       .015435
 4.7          .65445       .041562       .08073        .013803
 4.8          .52514       .036471       .065734       .01246
 4.9          .42407       .031532       .05429        .011147
 5            .347         .027102       .045871       .009963
 5.1          .28707       .023899       .03945        .0091389
 5.2          .23713       .021793       .033616       .0086096
 5.3          .19171       .020037       .02711        .0080966
 5.4          .14885       .018256       .020046       .0075043
 5.5          .11157       .016506       .014636       .006895
 5.6          .085799      .015486       .013283       .0064664
 5.7          .073371      .015361       .014807       .0064156
 5.8          .069053      .015141       .014166       .006208
 5.9          .06728       .01652        .0084866      .0065084
 6            .066596      .018522       .0022171      .0076456
 
QQ(J) =  .8
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  701.55
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  296.15
 
  Q(I)      RHOQNP       DRHOQNP        RHOQPP       DRHOQPP
 *****  *************  ***********  *************  ***********
  .001  182750         813.23       42946          672.65
  .1    176099         761.97       44656          611.47
  .2    158200         630.25       48023          458.85
  .3    133664         467.12       49283          285.49
  .4    106860         316.94       45749          156.37
  .5     80696         203          37617           94.446
  .6     57102         128.31       27325           68.833
  .7     37532          83.17       17639           48.357
  .8     22796          55.115      10218           30.487
  .9     12791          36.424       5375.2         18.349
 1        6658.8        23.942       2602.6         11.573
 1.1      3242.1        16.088       1176.1          8.1782
 1.2      1494.6        11.447        502.64         6.3392
 1.3       664.92        8.7251       205.1          4.8267
 1.4       294.9         6.9727        80.144        3.4485
 1.5       138.21        5.6795        29.991        2.5045
 1.6        74.784       4.6453        11.079        1.9662
 1.7        50.195       3.8099         4.7373       1.5541
 1.8        40.937       3.1461         3.0747       1.2007
 1.9        37.104       2.616          2.8456        .9491
 2          34.62        2.1782         2.848         .77089
 2.1        31.98        1.808          2.7568        .62101
 2.2        28.865       1.4983         2.5615        .49516
 2.3        25.453       1.2426         2.3098        .39822
 2.4        22.043       1.0289         2.0304        .32397
 2.5        18.872        .84489        1.7404        .26382
 2.6        16.066        .68505        1.4612        .21312
 2.7        13.656        .54935        1.2167        .17062
 2.8        11.612        .43879        1.0209        .13669
 2.9         9.8813       .35223         .87234       .11084
 3           8.4092       .28634         .75885       .091251
 3.1         7.1518       .23656         .66667       .075975
 3.2         6.0759       .19844         .58641       .063683
 3.3         5.1569       .1689          .51399       .053605
 3.4         4.3746       .14597         .44865       .045365
 3.5         3.7096       .12793         .39042       .038801
 3.6         3.1426       .11311         .33882       .033734
 3.7         2.6559       .10033         .29287       .029865
 3.8         2.2367       .089006        .25168       .026848
 3.9         1.8769       .078917        .21489       .024354
 4           1.5712       .069884        .18268       .022127
 4.1         1.3147       .061752        .15523       .019994
 4.2         1.1005       .054427        .13224       .017903
 4.3          .92002      .047868        .11272       .015875
 4.4          .76479      .041965        .095462      .013946
 4.5          .62905      .03662         .079695      .01216
 4.6          .51072      .03188         .065422      .010621
 4.7          .41043      .02781         .05315       .0093986
 4.8          .32935      .024243        .043351      .0084193
 4.9          .2667       .020979        .036004      .0075694
 5            .21864      .018135        .030499      .0068564
 5.1          .17967      .015966        .02593       .0063347
 5.2          .14558      .014436        .021518      .0059567
 5.3          .11498      .013203        .016926      .005597
 5.4          .088633     .01203         .012544      .0051907
 5.5          .068059     .0109          .0095117     .0047964
 5.6          .054114     .010075        .0087953     .004517
 5.7          .045483     .0097511       .0095094     .0043413
 5.8          .038981     .0094044       .0086484     .0041192
 5.9          .032651     .0094089       .0040196     .0043768
 6            .027213     .010221       -.0020386     .0050899
 
QQ(J) =  1
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  489.49
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  204.57
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
 *****  **************  ***********  *************  ***********
  .001  154766          429.58       36807          396.03
  .1    148003          404.89       37229          360.01
  .2    129891          341.55       37657          270.15
  .3    105563          262.74       36354          168.38
  .4     80268          188.15       32237           93.841
  .5     57500          127.53       25739           59.532
  .6     38848           83.178      18395           44.801
  .7     24677           53.335      11799           31.872
  .8     14682           34.32        6842.2         20.338
  .9      8167.4         22.465       3625.6         12.371
 1        4255.2         15.123       1778.1          7.9045
 1.1      2087.9         10.615        819.04         5.7809
 1.2       975.05         7.8596       359.97         4.6228
 1.3       441.22         6.1187       153.06         3.5386
 1.4       199.82         4.917         63.565        2.5139
 1.5        95.994        4.0071        26.072        1.8431
 1.6        53.188        3.2762        11.037        1.4798
 1.7        36.038        2.6717         5.4624       1.1776
 1.8        29.01         2.1727         3.603         .89934
 1.9        25.56         1.77           2.9651        .69879
 2          23.097        1.4492         2.5937        .56012
 2.1        20.756        1.1918         2.2408        .44609
 2.2        18.382         .98225        1.9069        .35144
 2.3        16.049         .80982        1.6188        .27884
 2.4        13.857         .66584        1.3736        .2239
 2.5        11.872         .54331        1.157         .18078
 2.6        10.125         .43866         .96488       .14528
 2.7         8.6207        .35115         .80276       .11558
 2.8         7.3423        .28047         .67529       .092043
 2.9         6.26          .22514         .57965       .074666
 3           5.3404        .18294         .50701       .061866
 3.1         4.5532        .15142         .44767       .051921
 3.2         3.8749        .12794         .39496       .043905
 3.3         3.2903        .11013         .3462        .037315
 3.4         2.7892        .096132        .30143       .031824
 3.5         2.3626        .084709        .26137       .027282
 3.6         2.0002        .074932        .22617       .023628
 3.7         1.6907        .066287        .19525       .020765
 3.8         1.4249        .05857         .1678        .018534
 3.9         1.1962        .05175         .1433        .016741
 4           1.0009        .045763        .12165       .015192
 4.1          .83608       .040485        .10289       .01374
 4.2          .69804       .035784        .086924      .012316
 4.3          .58204       .031574        .073354      .01092
 4.4          .4831        .027781        .061622      .0095794
 4.5          .39753       .024337        .051299      .0083383
 4.6          .32361       .021252        .042251      .0072618
 4.7          .26127       .018553        .034594      .0063962
 4.8          .21081       .016188        .028463      .0057227
 4.9          .17142       .014094        .023749      .0051889
 5            .14044       .012322        .020018      .0047707
 5.1          .11438       .010947        .016736      .0044533
 5.2          .091106      .0099173       .013569      .0042002
 5.3          .070619      .0090867       .010504      .0039538
 5.4          .053952      .0083384       .0077908     .0036732
 5.5          .041708      .007652        .0059236     .0034193
 5.6          .033633      .0070921       .0053785     .0032466
 5.7          .028224      .0066497       .0057497     .0030396
 5.8          .022588      .0062798       .0050759     .0028408
 5.9          .0147        .0062254       .0013005     .0031776
 6            .0067183     .0064704      -.0042613     .003697
 
QQ(J) =  1.2
4*PI*TOTINT(RHOQNP*Q(I)**2:Q(I))/(2*PI)**3 =  321.5
4*PI*TOTINT(RHOQPP*Q(I)**2:Q(I))/(2*PI)**3 =  131.35
 
  Q(I)      RHOQNP        DRHOQNP        RHOQPP       DRHOQPP
 *****  **************  ***********  *************  ***********
  .001  113319          266.13       27298          226.99
  .1    108031          250.59       27155          206.69
  .2     93850          210.74       26398          155.99
  .3     74837          161.48       24392           98.478
  .4     55322          115.64       20865           56.227
  .5     38280           78.961      16256           36.422
  .6     24966           52.02       11462           27.612
  .7     15398           33.481       7323.6         20.027
  .8      8986.4         21.601       4266.2         13.243
  .9      4964           14.466       2288.8          8.3941
 1        2601.4         10.253       1146.9          5.6199
 1.1      1301.9          7.6239       546.69         4.3016
 1.2       630.42         5.8422       253.5          3.4726
 1.3       301.9          4.5699       116.89         2.6292
 1.4       147.84         3.6386        54.438        1.8708
 1.5        77.436        2.9399        25.867        1.4049
 1.6        45.427        2.3905        12.816        1.146
 1.7        30.57         1.9373         6.9837        .91102
 1.8        23.236        1.5595         4.4314        .69004
 1.9        19.101        1.2526         3.2248        .52919
