# 11B(3/2-) -- AV18+UX -- 06-Aug-21

#    nucleon  momentum distribution calculated
#    for 101 q values from 0.001 to 10.000 fm-1
#    using 200 gauss points in r out to 20.00 fm
#    with Euler angle sampling of particles inside r = 50.00 fm

#    total of       5000 samples in blocks of       500

# K = momentum in 1/fm
# RHOKN = neutron momentum distribution in fm**3
# DRHOKN = Monte Carlo error bar (1 sigma)
# RHOKP = proton momentum distribution in fm**3
# DRHOKP = Monte Carlo error bar (1 sigma)

# Normalization
# 4*PI*TOTINT(RHOKN*K**2:K)/(2*PI)**3 =  5.9999
# 4*PI*TOTINT(RHOKP*K**2:K)/(2*PI)**3 =  4.9999

# number above K = 1.4 fm**-1
# 4*PI*TOTINT(RHOKN(I)*K(I)**2:K(I))/(2*PI)**3 =  .78904
# 4*PI*TOTINT(RHOKP(I)*K(I)**2:K(I))/(2*PI)**3 =  .72337

# Kinetic energy
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN*K**4:K)/(2*PI)**3 =  178.56
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP*K**4:K)/(2*PI)**3 =  158.46
#                                                   =  337.02

# Kinetic energy above K =  1.4 fm**-1
# .5*(HC**2/MN)*4*PI*TOTINT(RHOKN(I)*K(I)**4:K(I))/(2*PI)**3 =  106.35
# .5*(HC**2/MP)*4*PI*TOTINT(RHOKP(I)*K(I)**4:K(I))/(2*PI)**3 =   98.808
#                                                            =  205.16


#    K       RHOKN       DRHOKN      RHOKP       DRHOKP
# ******  ***********  *********  ***********  *********
  6.4       .0010728  5.7636E-5    9.8077E-4  5.1919E-5
  6.5      8.7803E-4  5.1372E-5    8.0181E-4  4.6505E-5
  6.6      7.179E-4   4.5633E-5    6.5464E-4  4.1464E-5
  6.7      5.8791E-4  4.0409E-5    5.348E-4   3.6838E-5
  6.8      4.8304E-4  3.5745E-5    4.379E-4   3.2675E-5
  6.9      3.9825E-4  3.1698E-5    3.5967E-4  2.8991E-5
  7        3.2907E-4  2.8218E-5    2.9625E-4  2.5744E-5
  7.1      2.719E-4   2.5116E-5    2.444E-4   2.2828E-5
  7.2      2.2406E-4  2.2175E-5    2.0152E-4  2.0123E-5
  7.3      1.8375E-4  1.9305E-5    1.6585E-4  1.7557E-5
  7.4      1.5001E-4  1.6588E-5    1.3627E-4  1.5135E-5
  7.5      1.2239E-4  1.4171E-5    1.1206E-4  1.2906E-5
  7.6      1.0053E-4  1.2093E-5    9.2593E-5  1.0909E-5
  7.7      8.3824E-5  1.0251E-5    7.7186E-5  9.1385E-6
  7.8      7.1239E-5  8.5276E-6    6.504E-5   7.572E-6
  7.9      6.1569E-5  6.9724E-6    5.5324E-5  6.2286E-6
  8        5.3762E-5  5.8077E-6    4.7306E-5  5.1834E-6
  8.1      4.7094E-5  5.1853E-6    4.0464E-5  4.4927E-6
  8.2      4.1102E-5  4.9111E-6    3.4499E-5  4.0934E-6
  8.3      3.5521E-5  4.6347E-6    2.9287E-5  3.834E-6
  8.4      3.0332E-5  4.2377E-6    2.483E-5   3.6177E-6
