#       k             kp                 O11                    O12                    O21                    O22          
   0.010250       3.483653         -3.323497e-05          5.451283e-05           6.607107e-12           -2.209158e-10     
   0.010250       3.558450         -3.288245e-05          4.997085e-05           6.157285e-12           -1.905762e-10     
   0.010250       3.628070         -3.193451e-05          4.547244e-05           5.315316e-12           -1.636693e-10     
   0.010250       3.692281         -3.040266e-05          4.107295e-05           4.100385e-12           -1.399550e-10     
   0.010250       3.750871         -2.838090e-05          3.682521e-05           2.664624e-12           -1.192022e-10     
   0.010250       3.803645         -2.601271e-05          3.277201e-05           1.206532e-12           -1.011640e-10     
   0.010250       3.850427         -2.344445e-05          2.893987e-05           -1.094117e-13          -8.556331e-11     
   0.010250       3.891062         -2.079143e-05          2.533360e-05           -1.185294e-12          -7.208622e-11     
   0.010250       3.925415         -1.812235e-05          2.193043e-05           -1.981349e-12          -6.037588e-11     
   0.010250       3.953373         -1.545313e-05          1.867095e-05           -2.490006e-12          -5.001719e-11     
   0.010250       3.974841         -1.273709e-05          1.543911e-05           -2.706535e-12          -4.048909e-11     
   0.010250       3.989750         -9.825229e-06          1.200280e-05           -2.592658e-12          -3.101027e-11     
   0.010250       3.998053         -6.262705e-06          7.745430e-06           -1.978654e-12          -1.984275e-11     
   0.010250       4.008499         -1.374533e-05          1.596944e-05           -2.200799e-12          -4.050133e-11     
   0.010250       4.044761         -2.309062e-05          2.297763e-05           3.546538e-12           -5.620814e-11     
   0.010250       4.109915         -3.265879e-05          2.538661e-05           1.709389e-11           -5.807493e-11     
   0.010250       4.203828         -5.871837e-05          2.371210e-05           6.448430e-11           -4.905450e-11     
   0.010250       4.326294         -1.685906e-04          1.833420e-05           2.994304e-10           -3.297604e-11     
   0.010250       4.477040         -1.562811e-05          1.084255e-05           3.088992e-12           -1.599035e-11     
   0.010250       4.655730         -5.134099e-06          4.290062e-06           -2.960153e-12          -4.560554e-12     
   0.010250       4.861964         -1.005823e-06          9.531668e-07           -1.666601e-12          -4.956051e-13     
   0.010250       5.095283         -1.651221e-07          1.316833e-07           -1.020344e-13          -7.350828e-14     
   0.010250       5.355166         -2.570184e-08          1.485913e-08           4.006964e-14           -2.434577e-14     
   0.010250       5.641033         -3.531585e-10          1.958290e-10           6.843809e-16           -3.808473e-16     
   0.010250       5.952247         -7.722495e-14          4.383403e-14           1.491810e-19           -8.470294e-20     
   0.010250       6.288112         -5.767135e-20          3.452419e-20           9.566149e-26           -5.747430e-26     
   0.010250       6.647880         -2.395865e-29          1.524796e-29           2.842656e-35           -1.866274e-35     
   0.010250       7.030747         -8.600386e-44          5.707230e-44           6.672543e-50           -4.848494e-50     
   0.010250       7.435859         -2.895321e-66          1.974823e-66           1.274220e-72           -1.071264e-72     
