#       k             kp                  U           
   0.015318       1.305826         3.264055e-07      
   0.015318       1.383286         2.582330e-07      
   0.015318       1.461060         1.783217e-07      
   0.015318       1.538940         9.299909e-08      
   0.015318       1.616714         8.536211e-09      
   0.015318       1.694174         -6.985273e-08     
   0.015318       1.771110         -1.386253e-07     
   0.015318       1.847315         -1.960412e-07     
   0.015318       1.922584         -2.418695e-07     
   0.015318       1.996714         -2.768820e-07     
   0.015318       2.069505         -3.023483e-07     
   0.015318       2.140761         -3.196663e-07     
   0.015318       2.210289         -3.301614e-07     
   0.015318       2.277902         -3.350063e-07     
   0.015318       2.343418         -3.352124e-07     
   0.015318       2.406661         -3.316525e-07     
   0.015318       2.467459         -3.250730e-07     
   0.015318       2.525649         -3.161095e-07     
   0.015318       2.581075         -3.053001e-07     
   0.015318       2.633586         -2.930904e-07     
   0.015318       2.683041         -2.798410e-07     
   0.015318       2.729306         -2.658347e-07     
   0.015318       2.772258         -2.512816e-07     
   0.015318       2.811780         -2.363239e-07     
   0.015318       2.847765         -2.210401e-07     
   0.015318       2.880118         -2.054427e-07     
   0.015318       2.908749         -1.894716e-07     
   0.015318       2.933583         -1.729859e-07     
   0.015318       2.954553         -1.557264e-07     
   0.015318       2.971601         -1.372558e-07     
   0.015318       2.984682         -1.167962e-07     
   0.015318       2.993761         -9.275911e-08     
   0.015318       2.998815         -6.064364e-08     
   0.015318       3.004739         -1.208458e-07     
   0.015318       3.024957         -1.819568e-07     
   0.015318       3.061273         -2.225640e-07     
   0.015318       3.113597         -2.504605e-07     
   0.015318       3.181789         -2.678477e-07     
   0.015318       3.265666         -2.755762e-07     
   0.015318       3.365002         -2.741926e-07     
   0.015318       3.479529         -2.643598e-07     
   0.015318       3.608938         -2.470705e-07     
   0.015318       3.752880         -2.237079e-07     
   0.015318       3.910968         -1.960065e-07     
   0.015318       4.082775         -1.659202e-07     
   0.015318       4.267838         -1.354321e-07     
   0.015318       4.465657         -1.063463e-07     
   0.015318       4.675701         -8.010600e-08     
   0.015318       4.897402         -5.767360e-08     
   0.015318       5.130163         -3.949338e-08     
   0.015318       5.373356         -2.553586e-08     
   0.015318       5.626327         -1.540592e-08     
   0.015318       5.888392         -8.482695e-09     
   0.015318       6.158845         -4.058169e-09     
   0.015318       6.436958         -1.448849e-09     
   0.015318       6.721980         -6.763573e-11     
   0.015318       7.013143         5.443014e-10      
   0.015318       7.309662         7.164601e-10      
   0.015318       7.610739         6.671014e-10      
   0.015318       7.915560         5.294933e-10      
   0.015318       8.223305         3.763800e-10      
   0.015318       8.533144         2.427263e-10      
   0.015318       8.844241         1.403897e-10      
   0.015318       9.155759         6.927126e-11      
   0.015318       9.466856         2.418548e-11      
   0.015318       9.776695         -1.557347e-12     
   0.015318       10.084440        -1.421351e-11     
   0.015318       10.389261        -1.875390e-11     
   0.015318       10.690338        -1.875024e-11     
   0.015318       10.986857        -2.591856e-11     
   0.015318       11.278020        -1.916259e-11     
   0.015318       11.563042        -1.391496e-11     
   0.015318       11.841155        -9.961412e-12     
   0.015318       12.111608        -7.053314e-12     
   0.015318       12.373673        -4.954291e-12     
   0.015318       12.626644        -3.461579e-12     
   0.015318       12.869837        -2.412380e-12     
   0.015318       13.102598        -1.681853e-12     
   0.015318       13.324299        -1.176313e-12     
   0.015318       13.534343        -8.255823e-13     
   0.015318       13.732162        -5.816126e-13     
   0.015318       13.917225        -4.116222e-13     
   0.015318       14.089032        -2.932422e-13     
   0.015318       14.247120        -2.107121e-13     
   0.015318       14.391062        -1.522296e-13     
   0.015318       14.520471        -1.120508e-13     
   0.015318       14.634998        -8.314245e-14     
   0.015318       14.734334        -6.234707e-14     
   0.015318       14.818211        -4.772490e-14     
   0.015318       14.886403        -3.606088e-14     
   0.015318       14.938727        -2.619626e-14     
   0.015318       14.975043        -1.772398e-14     
   0.015318       14.995261        -1.051792e-14     
   0.028399       0.001185         -2.616356e-14     
   0.028399       0.006239         -1.100806e-12     
   0.028399       0.015318         -8.092643e-12     
   0.028399       0.028399         1.000000e+00      
   0.028399       0.045447         -7.018661e-11     
   0.028399       0.066417         -9.592133e-11     
   0.028399       0.091251         3.382384e-11      
   0.028399       0.119882         6.971558e-10      
   0.028399       0.152235         2.703396e-09      
