#       k             kp                 U11                    U12                    U21                    U22          
   0.010250       0.769234         -2.592513e-06          5.939791e-06           3.848031e-10           -2.126406e-10     
   0.010250       0.862094         -1.086667e-06          9.152111e-06           4.058871e-10           -2.799513e-10     
   0.010250       0.958735         8.184507e-07           1.344055e-05           4.127180e-10           -3.498951e-10     
   0.010250       1.058835         2.992176e-06           1.890043e-05           4.052915e-10           -4.160278e-10     
   0.010250       1.162061         5.225243e-06           2.554332e-05           3.830739e-10           -4.763618e-10     
   0.010250       1.268071         7.239867e-06           3.326829e-05           3.465849e-10           -5.306378e-10     
   0.010250       1.376513         8.717238e-06           4.184068e-05           2.985820e-10           -5.731679e-10     
   0.010250       1.487025         9.343148e-06           5.088732e-05           2.418396e-10           -5.995631e-10     
   0.010250       1.599241         8.865930e-06           5.991274e-05           1.786658e-10           -6.142697e-10     
   0.010250       1.712789         7.152798e-06           6.834075e-05           1.136318e-10           -6.184644e-10     
   0.010250       1.827291         4.229199e-06           7.558485e-05           5.225162e-11           -6.066676e-10     
   0.010250       1.942367         2.881610e-07           8.113642e-05           -2.316065e-12          -5.821243e-10     
   0.010250       2.057633         -4.339140e-06          8.464798e-05           -4.752259e-11          -5.512395e-10     
   0.010250       2.172709         -9.246592e-06          8.599142e-05           -8.059610e-11          -5.106748e-10     
   0.010250       2.287211         -1.403019e-05          8.527401e-05           -1.016183e-10          -4.603489e-10     
   0.010250       2.400759         -1.835682e-05          8.280185e-05           -1.128422e-10          -4.078941e-10     
   0.010250       2.512975         -2.200695e-05          7.900348e-05           -1.159671e-10          -3.546829e-10     
   0.010250       2.623487         -2.488211e-05          7.434138e-05           -1.129990e-10          -2.992627e-10     
   0.010250       2.731929         -2.698316e-05          6.923550e-05           -1.067543e-10          -2.463753e-10     
   0.010250       2.837939         -2.837564e-05          6.401557e-05           -9.908013e-11          -1.998454e-10     
   0.010250       2.941165         -2.915600e-05          5.890750e-05           -9.063736e-11          -1.583047e-10     
   0.010250       3.041265         -2.942673e-05          5.404555e-05           -8.207157e-11          -1.213294e-10     
   0.010250       3.137906         -2.928285e-05          4.949570e-05           -7.402755e-11          -9.077369e-11     
   0.010250       3.230766         -2.880714e-05          4.527948e-05           -6.663005e-11          -6.669575e-11     
   0.010250       3.319539         -2.806980e-05          4.139309e-05           -5.972002e-11          -4.718644e-11     
   0.010250       3.403928         -2.712935e-05          3.781996e-05           -5.329406e-11          -3.109504e-11     
   0.010250       3.483653         -2.603392e-05          3.453761e-05           -4.747114e-11          -1.847153e-11     
   0.010250       3.558450         -2.482228e-05          3.152088e-05           -4.227570e-11          -9.199570e-12     
   0.010250       3.628070         -2.352467e-05          2.874332e-05           -3.761753e-11          -2.504409e-12     
   0.010250       3.692281         -2.216328e-05          2.617763e-05           -3.340111e-11          2.469538e-12      
   0.010250       3.750871         -2.075262e-05          2.379554e-05           -2.957994e-11          6.193406e-12      
   0.010250       3.803645         -1.929964e-05          2.156724e-05           -2.613197e-11          8.818609e-12      
   0.010250       3.850427         -1.780340e-05          1.946028e-05           -2.302321e-11          1.042407e-11      
   0.010250       3.891062         -1.625397e-05          1.743770e-05           -2.019618e-11          1.113822e-11      
   0.010250       3.925415         -1.462975e-05          1.545459e-05           -1.757472e-11          1.112143e-11      
   0.010250       3.953373         -1.289142e-05          1.345116e-05           -1.506622e-11          1.050856e-11      
   0.010250       3.974841         -1.096708e-05          1.133681e-05           -1.254812e-11          9.367864e-12      
   0.010250       3.989750         -8.708246e-06          8.944176e-06           -9.817066e-12          7.662446e-12      
   0.010250       3.998053         -5.692534e-06          5.826013e-06           -6.364367e-12          5.088095e-12      
   0.010250       4.008499         -1.184457e-05          1.206849e-05           -1.310435e-11          1.078979e-11      
   0.010250       4.044761         -1.779319e-05          1.785520e-05           -1.897239e-11          1.722411e-11      
   0.010250       4.109915         -2.166401e-05          2.116736e-05           -2.156046e-11          2.309156e-11      
   0.010250       4.203828         -2.419403e-05          2.278242e-05           -2.165870e-11          2.903075e-11      
   0.010250       4.326294         -2.557406e-05          2.300531e-05           -1.979631e-11          3.398680e-11      
   0.010250       4.477040         -2.587159e-05          2.207071e-05           -1.650434e-11          3.641425e-11      
   0.010250       4.655730         -2.514082e-05          2.021932e-05           -1.214969e-11          3.713244e-11      
   0.010250       4.861964         -2.346938e-05          1.770968e-05           -7.647453e-12          3.376968e-11      
   0.010250       5.095283         -2.099973e-05          1.480768e-05           -3.308054e-12          2.824560e-11      
   0.010250       5.355166         -1.793143e-05          1.176938e-05           2.103813e-13           1.963264e-11      
   0.010250       5.641033         -1.450890e-05          8.821400e-06           2.704044e-12           9.861383e-12      
   0.010250       5.952247         -1.099714e-05          6.144653e-06           4.175914e-12           4.197131e-13      
   0.010250       6.288112         -7.651358e-06          3.864148e-06           4.730218e-12           -7.836125e-12     
