       # p        I+\delta U^\dagger        I          \delta U^\dagger 
   1.421110e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.429610e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.437648e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.445219e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.452317e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.458938e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.465077e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.470730e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.475893e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.480563e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.484736e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.488410e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.491582e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.494250e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.496412e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.498067e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.499213e+00      0.000000e+00      0.000000e+00      0.000000e+00   
   1.499851e+00      0.000000e+00      0.000000e+00      0.000000e+00   
