#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       26.564141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       26.969253        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       27.352120        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       27.711888        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.047753        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.358967        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.644834        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       28.904717        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.138036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.344270        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.522960        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.673706        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.796172        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.890085        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.955239        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       29.991501        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.010250       0.001947         -1.762369e-11          -1.020678e-14          2.828598e-13           2.527519e-22      
   0.010250       0.010250         -6.315127e-21          -2.271083e-12          2.271083e-12           1.327124e-32      
   0.010250       0.025159         2.265642e-09           -4.199900e-11          6.984486e-12           -5.412239e-18     
   0.010250       0.046627         1.916823e-08           -3.106001e-10          1.512304e-11           -1.562163e-16     
   0.010250       0.074585         9.065587e-08           -1.416937e-09          2.729250e-11           -1.862605e-15     
   0.010250       0.108938         3.120549e-07           -4.778593e-09          4.409399e-11           -1.331002e-14     
   0.010250       0.149573         8.710849e-07           -1.306322e-08          6.615238e-11           -6.699309e-14     
   0.010250       0.196355         2.090080e-06           -3.051629e-08          9.403581e-11           -2.592133e-13     
   0.010250       0.249129         4.466177e-06           -6.296424e-08          1.280197e-10           -8.130933e-13     
   0.010250       0.307719         8.698962e-06           -1.173475e-07          1.677275e-10           -2.142277e-12     
   0.010250       0.371930         1.569261e-05           -2.008570e-07          2.118023e-10           -4.865922e-12     
   0.010250       0.441550         2.651918e-05           -3.200355e-07          2.578128e-10           -9.730090e-12     
   0.010250       0.516347         4.233280e-05           -4.803631e-07          3.024915e-10           -1.744221e-11     
   0.010250       0.596072         6.423165e-05           -6.867078e-07          3.422081e-10           -2.848738e-11     
   0.010250       0.680461         9.307621e-05           -9.446271e-07          3.734708e-10           -4.300903e-11     
   0.010250       0.769234         1.292868e-04           -1.262069e-06          3.933017e-10           -6.079080e-11     
   0.010250       0.862094         1.726564e-04           -1.650759e-06          3.994567e-10           -8.131793e-11     
   0.010250       0.958735         2.222240e-04           -2.126526e-06          3.905345e-10           -1.038696e-10     
   0.010250       1.058835         2.762498e-04           -2.708009e-06          3.660200e-10           -1.276037e-10     
   0.010250       1.162061         3.323200e-04           -3.413500e-06          3.262739e-10           -1.516175e-10     
   0.010250       1.268071         3.875824e-04           -4.256108e-06          2.724602e-10           -1.749889e-10     
   0.010250       1.376513         4.390798e-04           -5.237888e-06          2.064057e-10           -1.968065e-10     
   0.010250       1.487025         4.841211e-04           -6.344044e-06          1.304093e-10           -2.161986e-10     
   0.010250       1.599241         5.206163e-04           -7.538513e-06          4.703158e-11           -2.323679e-10     
   0.010250       1.712789         5.473058e-04           -8.762237e-06          -4.109469e-11          -2.446313e-10     
   0.010250       1.827291         5.638415e-04           -9.934991e-06          -1.314016e-10          -2.524644e-10     
   0.010250       1.942367         5.707138e-04           -1.096094e-05          -2.214609e-10          -2.555432e-10     
   0.010250       2.057633         5.690576e-04           -1.173735e-05          -3.090074e-10          -2.537780e-10     
   0.010250       2.172709         5.603933e-04           -1.216505e-05          -3.919373e-10          -2.473326e-10     
   0.010250       2.287211         5.463657e-04           -1.215910e-05          -4.683132e-10          -2.366217e-10     
   0.010250       2.400759         5.285308e-04           -1.165796e-05          -5.363973e-10          -2.222861e-10     
   0.010250       2.512975         5.082188e-04           -1.062991e-05          -5.947182e-10          -2.051434e-10     
   0.010250       2.623487         4.864741e-04           -9.076117e-06          -6.421587e-10          -1.861211e-10     
   0.010250       2.731929         4.640589e-04           -7.030198e-06          -6.780413e-10          -1.661783e-10     
   0.010250       2.837939         4.414944e-04           -4.554816e-06          -7.021857e-10          -1.462269e-10     
   0.010250       2.941165         4.191182e-04           -1.735949e-06          -7.149181e-10          -1.270632e-10     
   0.010250       3.041265         3.971394e-04           1.324217e-06           -7.170263e-10          -1.093170e-10     
   0.010250       3.137906         3.756830e-04           4.514861e-06           -7.096670e-10          -9.342487e-11     
   0.010250       3.230766         3.548206e-04           7.723754e-06           -6.942413e-10          -7.962674e-11     
   0.010250       3.319539         3.345882e-04           1.084346e-05           -6.722595e-10          -6.798333e-11     
   0.010250       3.403928         3.149955e-04           1.377607e-05           -6.452145e-10          -5.840810e-11     
   0.010250       3.483653         2.960296e-04           1.643632e-05           -6.144800e-10          -5.070666e-11     
   0.010250       3.558450         2.776552e-04           1.875305e-05           -5.812375e-10          -4.461682e-11     
   0.010250       3.628070         2.598138e-04           2.066925e-05           -5.464356e-10          -3.984447e-11     
   0.010250       3.692281         2.424220e-04           2.214091e-05           -5.107741e-10          -3.609196e-11     
   0.010250       3.750871         2.253684e-04           2.313508e-05           -4.747054e-10          -3.307808e-11     
   0.010250       3.803645         2.085083e-04           2.362721e-05           -4.384441e-10          -3.054974e-11     
   0.010250       3.850427         1.916545e-04           2.359773e-05           -4.019737e-10          -2.828660e-11     
   0.010250       3.891062         1.745603e-04           2.302775e-05           -3.650369e-10          -2.609953e-11     
   0.010250       3.925415         1.568853e-04           2.189253e-05           -3.270916e-10          -2.382356e-11     
   0.010250       3.953373         1.381269e-04           2.014997e-05           -2.871890e-10          -2.130336e-11     
   0.010250       3.974841         1.174570e-04           1.771518e-05           -2.436521e-10          -1.836337e-11     
   0.010250       3.989750         9.324679e-05           1.438746e-05           -1.931050e-10          -1.472846e-11     
   0.010250       3.998053         6.095065e-05           9.523042e-06           -1.261007e-10          -9.684998e-12     
   0.010250       4.008499         1.268149e-04           2.012627e-05           -2.620398e-10          -2.030846e-11     
   0.010250       4.044761         1.905351e-04           3.189186e-05           -3.919059e-10          -3.141886e-11     
   0.010250       4.109915         2.323518e-04           4.262047e-05           -4.735778e-10          -4.068675e-11     
   0.010250       4.203828         2.608262e-04           5.414501e-05           -5.237827e-10          -5.044190e-11     
   0.010250       4.326294         2.789519e-04           6.718684e-05           -5.482030e-10          -6.220598e-11     
   0.010250       4.477040         2.884812e-04           8.205866e-05           -5.508179e-10          -7.708563e-11     
   0.010250       4.655730         2.908169e-04           9.883689e-05           -5.358713e-10          -9.561845e-11     
   0.010250       4.861964         2.872182e-04           1.174554e-04           -5.079841e-10          -1.177037e-10     
   0.010250       5.095283         2.788124e-04           1.377829e-04           -4.715928e-10          -1.427698e-10     
   0.010250       5.355166         2.665802e-04           1.596763e-04           -4.304301e-10          -1.700752e-10     
   0.010250       5.641033         2.513603e-04           1.829983e-04           -3.873415e-10          -1.989424e-10     
   0.010250       5.952247         2.338378e-04           2.075862e-04           -3.443060e-10          -2.288249e-10     
   0.010250       6.288112         2.144753e-04           2.331563e-04           -3.024561e-10          -2.592206e-10     
   0.010250       6.647880         1.933934e-04           2.590972e-04           -2.620597e-10          -2.894301e-10     
   0.010250       7.030747         1.702607e-04           2.841130e-04           -2.225403e-10          -3.181393e-10     
   0.010250       7.435859         1.443409e-04           3.057553e-04           -1.826938e-10          -3.428960e-10     
   0.010250       7.862313         1.149425e-04           3.201117e-04           -1.413576e-10          -3.598030e-10     
   0.010250       8.309157         8.239875e-05           3.221912e-04           -9.861228e-11          -3.640042e-10     
   0.010250       8.775393         4.911811e-05           3.076102e-04           -5.692238e-11          -3.514964e-10     
   0.010250       9.259982         1.962102e-05           2.761229e-04           -2.102934e-11          -3.228686e-10     
   0.010250       9.761842         -1.401115e-06          2.371643e-04           4.324783e-12           -2.897973e-10     
   0.010250       10.279853        -1.288456e-05          2.151048e-04           1.881568e-11           -2.839183e-10     
   0.010250       10.812859        -1.955188e-05          2.486957e-04           2.933682e-11           -3.648168e-10     
   0.010250       11.359671        -4.590444e-06          6.496372e-05           7.095285e-12           -9.920154e-11     
