#       k             kp                  U           
   0.015318       5.626327         -1.104994e-05     
   0.015318       5.888392         -8.558566e-06     
   0.015318       6.158845         -6.400541e-06     
   0.015318       6.436958         -4.592017e-06     
   0.015318       6.721980         -3.126051e-06     
   0.015318       7.013143         -1.978283e-06     
   0.015318       7.309662         -1.112819e-06     
   0.015318       7.610739         -4.876642e-07     
   0.015318       7.915560         -5.924156e-08     
   0.015318       8.223305         2.141934e-07      
   0.015318       8.533144         3.702767e-07      
   0.015318       8.844241         4.412724e-07      
   0.015318       9.155759         4.536294e-07      
   0.015318       9.466856         4.281381e-07      
   0.015318       9.776695         3.804726e-07      
   0.015318       10.084440        3.219396e-07      
   0.015318       10.389261        2.602964e-07      
   0.015318       10.690338        2.005405e-07      
   0.015318       10.986857        1.456159e-07      
   0.015318       11.278020        9.700603e-08      
   0.015318       11.563042        5.520761e-08      
   0.015318       11.841155        2.009282e-08      
   0.015318       12.111608        -8.826583e-09     
   0.015318       12.373673        -3.221491e-08     
   0.015318       12.626644        -5.079093e-08     
   0.015318       12.869837        -6.525295e-08     
   0.015318       13.102598        -7.623716e-08     
   0.015318       13.324299        -8.429868e-08     
   0.015318       13.534343        -8.990694e-08     
   0.015318       13.732162        -9.344942e-08     
   0.015318       13.917225        -9.523961e-08     
   0.015318       14.089032        -9.552615e-08     
   0.015318       14.247120        -9.450160e-08     
   0.015318       14.391062        -9.230947e-08     
   0.015318       14.520471        -8.904875e-08     
   0.015318       14.634998        -8.477516e-08     
   0.015318       14.734334        -7.949726e-08     
   0.015318       14.818211        -7.316413e-08     
   0.015318       14.886403        -6.563506e-08     
   0.015318       14.938727        -5.660366e-08     
   0.015318       14.975043        -4.537016e-08     
   0.015318       14.995261        -2.981350e-08     
   0.028399       0.001185         -3.538754e-09     
   0.028399       0.006239         -2.838864e-08     
   0.028399       0.015318         -8.684611e-08     
   0.028399       0.028399         9.999998e-01      
   0.028399       0.045447         -3.219808e-07     
   0.028399       0.066417         -4.849913e-07     
   0.028399       0.091251         -6.428050e-07     
   0.028399       0.119882         -7.373415e-07     
   0.028399       0.152235         -6.749631e-07     
   0.028399       0.188220         -3.186120e-07     
   0.028399       0.227742         5.175373e-07      
   0.028399       0.270694         2.069132e-06      
   0.028399       0.316959         4.616734e-06      
   0.028399       0.366414         8.473612e-06      
   0.028399       0.418925         1.396532e-05      
   0.028399       0.474351         2.140049e-05      
   0.028399       0.532541         3.103259e-05      
   0.028399       0.593339         4.301297e-05      
   0.028399       0.656582         5.733676e-05      
   0.028399       0.722098         7.378608e-05      
   0.028399       0.789711         9.187863e-05      
   0.028399       0.859239         1.108349e-04      
   0.028399       0.930495         1.295811e-04      
   0.028399       1.003286         1.468044e-04      
   0.028399       1.077416         1.610729e-04      
   0.028399       1.152685         1.710166e-04      
   0.028399       1.228890         1.755456e-04      
   0.028399       1.305826         1.740591e-04      
   0.028399       1.383286         1.665853e-04      
   0.028399       1.461060         1.538024e-04      
   0.028399       1.538940         1.369198e-04      
   0.028399       1.616714         1.174467e-04      
   0.028399       1.694174         9.691608e-05      
   0.028399       1.771110         7.664500e-05      
   0.028399       1.847315         5.759280e-05      
   0.028399       1.922584         4.033335e-05      
   0.028399       1.996714         2.511507e-05      
   0.028399       2.069505         1.196105e-05      
   0.028399       2.140761         7.660208e-07      
   0.028399       2.210289         -8.632808e-06     
   0.028399       2.277902         -1.641455e-05     
   0.028399       2.343418         -2.275516e-05     
   0.028399       2.406661         -2.782002e-05     
   0.028399       2.467459         -3.176169e-05     
   0.028399       2.525649         -3.471922e-05     
   0.028399       2.581075         -3.681793e-05     
   0.028399       2.633586         -3.816935e-05     
   0.028399       2.683041         -3.887130e-05     
   0.028399       2.729306         -3.900805e-05     
   0.028399       2.772258         -3.865068e-05     
   0.028399       2.811780         -3.785728e-05     
   0.028399       2.847765         -3.667300e-05     
   0.028399       2.880118         -3.512969e-05     
   0.028399       2.908749         -3.324473e-05     
   0.028399       2.933583         -3.101842e-05     
   0.028399       2.954553         -2.842842e-05     
   0.028399       2.971601         -2.541754e-05     
   0.028399       2.984682         -2.186415e-05     
   0.028399       2.993761         -1.749409e-05     
   0.028399       2.998815         -1.148440e-05     
   0.028399       3.004739         -2.299540e-05     
   0.028399       3.024957         -3.519032e-05     
   0.028399       3.061273         -4.428854e-05     
   0.028399       3.113597         -5.186579e-05     
   0.028399       3.181789         -5.831780e-05     
   0.028399       3.265666         -6.367934e-05     
   0.028399       3.365002         -6.783686e-05     
   0.028399       3.479529         -7.062961e-05     
   0.028399       3.608938         -7.191467e-05     
   0.028399       3.752880         -7.161141e-05     
   0.028399       3.910968         -6.972799e-05     
   0.028399       4.082775         -6.637073e-05     
   0.028399       4.267838         -6.173777e-05     
   0.028399       4.465657         -5.610014e-05     
   0.028399       4.675701         -4.977467e-05     
   0.028399       4.897402         -4.309339e-05     
   0.028399       5.130163         -3.637431e-05     
   0.028399       5.373356         -2.989702e-05     
   0.028399       5.626327         -2.388570e-05     
   0.028399       5.888392         -1.850026e-05     
   0.028399       6.158845         -1.383542e-05     
   0.028399       6.436958         -9.926083e-06     
   0.028399       6.721980         -6.757232e-06     
   0.028399       7.013143         -4.276206e-06     
   0.028399       7.309662         -2.405417e-06     
   0.028399       7.610739         -1.054084e-06     
   0.028399       7.915560         -1.280102e-07     
   0.028399       8.223305         4.630403e-07      
   0.028399       8.533144         8.004231e-07      
   0.028399       8.844241         9.538805e-07      
   0.028399       9.155759         9.805853e-07      
   0.028399       9.466856         9.254780e-07      
   0.028399       9.776695         8.224397e-07      
   0.028399       10.084440        6.959112e-07      
   0.028399       10.389261        5.626602e-07      
   0.028399       10.690338        4.334896e-07      
   0.028399       10.986857        3.147628e-07      
   0.028399       11.278020        2.096863e-07      
   0.028399       11.563042        1.193338e-07      
   0.028399       11.841155        4.342887e-08      
   0.028399       12.111608        -1.908386e-08     
   0.028399       12.373673        -6.964046e-08     
   0.028399       12.626644        -1.097947e-07     
   0.028399       12.869837        -1.410559e-07     
   0.028399       13.102598        -1.647995e-07     
   0.028399       13.324299        -1.822253e-07     
   0.028399       13.534343        -1.943480e-07     
   0.028399       13.732162        -2.020054e-07     
   0.028399       13.917225        -2.058749e-07     
   0.028399       14.089032        -2.064941e-07     
   0.028399       14.247120        -2.042793e-07     
   0.028399       14.391062        -1.995405e-07     
   0.028399       14.520471        -1.924919e-07     
   0.028399       14.634998        -1.832539e-07     
   0.028399       14.734334        -1.718449e-07     
   0.028399       14.818211        -1.581549e-07     
   0.028399       14.886403        -1.418796e-07     
   0.028399       14.938727        -1.223570e-07     
   0.028399       14.975043        -9.807411e-08     
   0.028399       14.995261        -6.444617e-08     
   0.045447       0.001185         -6.549882e-09     
   0.045447       0.006239         -5.254600e-08     
   0.045447       0.015318         -1.607710e-07     
   0.045447       0.028399         -3.426795e-07     
   0.045447       0.045447         9.999994e-01      
   0.045447       0.066417         -9.008491e-07     
   0.045447       0.091251         -1.198594e-06     
   0.045447       0.119882         -1.385883e-06     
   0.045447       0.152235         -1.294487e-06     
   0.045447       0.188220         -6.780327e-07     
   0.045447       0.227742         7.976533e-07      
   0.045447       0.270694         3.556478e-06      
   0.045447       0.316959         8.103299e-06      
   0.045447       0.366414         1.500201e-05      
   0.045447       0.418925         2.483879e-05      
   0.045447       0.474351         3.816964e-05      
   0.045447       0.532541         5.545153e-05      
   0.045447       0.593339         7.695800e-05      
   0.045447       0.656582         1.026819e-04      
   0.045447       0.722098         1.322332e-04      
   0.045447       0.789711         1.647465e-04      
   0.045447       0.859239         1.988223e-04      
   0.045447       0.930495         2.325310e-04      
   0.045447       1.003286         2.635133e-04      
   0.045447       1.077416         2.891945e-04      
   0.045447       1.152685         3.071100e-04      
   0.045447       1.228890         3.152978e-04      
   0.045447       1.305826         3.126739e-04      
   0.045447       1.383286         2.992852e-04      
   0.045447       1.461060         2.763475e-04      
   0.045447       1.538940         2.460326e-04      
   0.045447       1.616714         2.110528e-04      
   0.045447       1.694174         1.741643e-04      
   0.045447       1.771110         1.377363e-04      
   0.045447       1.847315         1.034954e-04      
   0.045447       1.922584         7.247462e-05      
   0.045447       1.996714         4.512187e-05      
   0.045447       2.069505         2.147929e-05      
   0.045447       2.140761         1.357994e-06      
   0.045447       2.210289         -1.553460e-05     
   0.045447       2.277902         -2.952046e-05     
   0.045447       2.343418         -4.091594e-05     
   0.045447       2.406661         -5.001836e-05     
   0.045447       2.467459         -5.710195e-05     
   0.045447       2.525649         -6.241668e-05     
   0.045447       2.581075         -6.618783e-05     
   0.045447       2.633586         -6.861587e-05     
   0.045447       2.683041         -6.987661e-05     
   0.045447       2.729306         -7.012154e-05     
   0.045447       2.772258         -6.947840e-05     
   0.045447       2.811780         -6.805160e-05     
   0.045447       2.847765         -6.592230e-05     
   0.045447       2.880118         -6.314773e-05     
   0.045447       2.908749         -5.975911e-05     
   0.045447       2.933583         -5.575700e-05     
   0.045447       2.954553         -5.110120e-05     
   0.045447       2.971601         -4.568891e-05     
   0.045447       2.984682         -3.930149e-05     
   0.045447       2.993761         -3.144614e-05     
   0.045447       2.998815         -2.064353e-05     
   0.045447       3.004739         -4.133484e-05     
   0.045447       3.024957         -6.325536e-05     
   0.045447       3.061273         -7.960927e-05     
   0.045447       3.113597         -9.322893e-05     
   0.045447       3.181789         -1.048257e-04     
   0.045447       3.265666         -1.144622e-04     
   0.045447       3.365002         -1.219343e-04     
   0.045447       3.479529         -1.269533e-04     
   0.045447       3.608938         -1.292622e-04     
   0.045447       3.752880         -1.287162e-04     
   0.045447       3.910968         -1.253301e-04     
   0.045447       4.082775         -1.192950e-04     
   0.045447       4.267838         -1.109671e-04     
   0.045447       4.465657         -1.008335e-04     
   0.045447       4.675701         -8.946376e-05     
   0.045447       4.897402         -7.745464e-05     
   0.045447       5.130163         -6.537769e-05     
   0.045447       5.373356         -5.373543e-05     
   0.045447       5.626327         -4.293077e-05     
   0.045447       5.888392         -3.325113e-05     
   0.045447       6.158845         -2.486672e-05     
   0.045447       6.436958         -1.784025e-05     
   0.045447       6.721980         -1.214474e-05     
   0.045447       7.013143         -7.685500e-06     
   0.045447       7.309662         -4.323084e-06     
   0.045447       7.610739         -1.894315e-06     
   0.045447       7.915560         -2.298854e-07     
   0.045447       8.223305         8.323956e-07      
   0.045447       8.533144         1.438753e-06      
   0.045447       8.844241         1.714539e-06      
   0.045447       9.155759         1.762512e-06      
   0.045447       9.466856         1.663446e-06      
   0.045447       9.776695         1.478237e-06      
   0.045447       10.084440        1.250811e-06      
   0.045447       10.389261        1.011305e-06      
   0.045447       10.690338        7.791361e-07      
   0.045447       10.986857        5.657397e-07      
   0.045447       11.278020        3.768789e-07      
   0.045447       11.563042        2.144831e-07      
   0.045447       11.841155        7.805517e-08      
   0.045447       12.111608        -3.430197e-08     
   0.045447       12.373673        -1.251695e-07     
   0.045447       12.626644        -1.973403e-07     
   0.045447       12.869837        -2.535272e-07     
   0.045447       13.102598        -2.962022e-07     
   0.045447       13.324299        -3.275220e-07     
   0.045447       13.534343        -3.493104e-07     
   0.045447       13.732162        -3.630729e-07     
   0.045447       13.917225        -3.700275e-07     
   0.045447       14.089032        -3.711402e-07     
   0.045447       14.247120        -3.671591e-07     
   0.045447       14.391062        -3.586418e-07     
   0.045447       14.520471        -3.459729e-07     
   0.045447       14.634998        -3.293689e-07     
   0.045447       14.734334        -3.088630e-07     
   0.045447       14.818211        -2.842573e-07     
   0.045447       14.886403        -2.550052e-07     
   0.045447       14.938727        -2.199164e-07     
   0.045447       14.975043        -1.762720e-07     
   0.045447       14.995261        -1.158313e-07     
   0.066417       0.001185         -1.106442e-08     
   0.066417       0.006239         -8.876778e-08     
   0.066417       0.015318         -2.716625e-07     
   0.066417       0.028399         -5.794604e-07     
   0.066417       0.045447         -1.010987e-06     
   0.066417       0.066417         9.999985e-01      
   0.066417       0.091251         -2.050118e-06     
   0.066417       0.119882         -2.401911e-06     
   0.066417       0.152235         -2.316732e-06     
   0.066417       0.188220         -1.399402e-06     
   0.066417       0.227742         8.864744e-07      
   0.066417       0.270694         5.221749e-06      
   0.066417       0.316959         1.241776e-05      
   0.066417       0.366414         2.338122e-05      
   0.066417       0.418925         3.905533e-05      
   0.066417       0.474351         6.033540e-05      
   0.066417       0.532541         8.795846e-05      
   0.066417       0.593339         1.223676e-04      
   0.066417       0.656582         1.635562e-04      
   0.066417       0.722098         2.109035e-04      
   0.066417       0.789711         2.630263e-04      
   0.066417       0.859239         3.176841e-04      
   0.066417       0.930495         3.717851e-04      
   0.066417       1.003286         4.215459e-04      
   0.066417       1.077416         4.628346e-04      
   0.066417       1.152685         4.916927e-04      
   0.066417       1.228890         5.049641e-04      
   0.066417       1.305826         5.008989e-04      
   0.066417       1.383286         4.795606e-04      
   0.066417       1.461060         4.428894e-04      
   0.066417       1.538940         3.943623e-04      
   0.066417       1.616714         3.383279e-04      
   0.066417       1.694174         2.792093e-04      
   0.066417       1.771110         2.208117e-04      
   0.066417       1.847315         1.659098e-04      
   0.066417       1.922584         1.161660e-04      
   0.066417       1.996714         7.230214e-05      
   0.066417       2.069505         3.438797e-05      
   0.066417       2.140761         2.121378e-06      
   0.066417       2.210289         -2.496667e-05     
   0.066417       2.277902         -4.739269e-05     
   0.066417       2.343418         -6.566421e-05     
   0.066417       2.406661         -8.025824e-05     
   0.066417       2.467459         -9.161471e-05     
   0.066417       2.525649         -1.001346e-04     
   0.066417       2.581075         -1.061791e-04     
   0.066417       2.633586         -1.100700e-04     
   0.066417       2.683041         -1.120890e-04     
   0.066417       2.729306         -1.124792e-04     
   0.066417       2.772258         -1.114454e-04     
   0.066417       2.811780         -1.091550e-04     
   0.066417       2.847765         -1.057383e-04     
   0.066417       2.880118         -1.012868e-04     
   0.066417       2.908749         -9.585072e-05     
