#       k             kp                  U           
   0.010212       0.437721         3.180193e-06      
   0.010212       0.481399         4.366251e-06      
   0.010212       0.526474         5.794372e-06      
   0.010212       0.572826         7.469101e-06      
   0.010212       0.620330         9.383586e-06      
   0.010212       0.668857         1.151761e-05      
   0.010212       0.718277         1.383619e-05      
   0.010212       0.768456         1.628894e-05      
   0.010212       0.819260         1.881067e-05      
   0.010212       0.870551         2.132321e-05      
   0.010212       0.922191         2.373885e-05      
   0.010212       0.974040         2.596517e-05      
   0.010212       1.025960         2.791108e-05      
   0.010212       1.077809         2.949352e-05      
   0.010212       1.129449         3.064407e-05      
   0.010212       1.180740         3.131481e-05      
   0.010212       1.231544         3.148236e-05      
   0.010212       1.281723         3.114972e-05      
   0.010212       1.331143         3.034553e-05      
   0.010212       1.379670         2.912085e-05      
   0.010212       1.427174         2.754390e-05      
   0.010212       1.473526         2.569368e-05      
   0.010212       1.518601         2.365323e-05      
   0.010212       1.562279         2.150346e-05      
   0.010212       1.604441         1.931816e-05      
   0.010212       1.644973         1.716058e-05      
   0.010212       1.683766         1.508166e-05      
   0.010212       1.720717         1.311967e-05      
   0.010212       1.755724         1.130099e-05      
   0.010212       1.788694         9.641562e-06      
   0.010212       1.819538         8.148772e-06      
   0.010212       1.848172         6.823275e-06      
   0.010212       1.874520         5.660728e-06      
   0.010212       1.898510         4.653221e-06      
   0.010212       1.920078         3.790380e-06      
   0.010212       1.939166         3.060119e-06      
   0.010212       1.955722         2.449060e-06      
   0.010212       1.969702         1.942551e-06      
   0.010212       1.981067         1.524157e-06      
   0.010212       1.989788         1.174108e-06      
   0.010212       1.995841         8.646935e-07      
   0.010212       1.999210         5.406284e-07      
   0.010212       2.003160         1.019679e-06      
   0.010212       2.016638         1.238609e-06      
   0.010212       2.040848         8.604257e-07      
   0.010212       2.075731         -1.022258e-07     
   0.010212       2.121193         -1.625834e-06     
   0.010212       2.177111         -3.647340e-06     
   0.010212       2.243335         -6.065241e-06     
   0.010212       2.319686         -8.748784e-06     
   0.010212       2.405959         -1.154962e-05     
   0.010212       2.501920         -1.431349e-05     
   0.010212       2.607312         -1.689167e-05     
   0.010212       2.721850         -1.915218e-05     
   0.010212       2.845225         -2.098929e-05     
   0.010212       2.977105         -2.232964e-05     
   0.010212       3.117134         -2.313457e-05     
   0.010212       3.264935         -2.339922e-05     
   0.010212       3.420109         -2.314912e-05     
   0.010212       3.582238         -2.243482e-05     
   0.010212       3.750884         -2.132537e-05     
   0.010212       3.925594         -1.990134e-05     
   0.010212       4.105897         -1.824803e-05     
   0.010212       4.291305         -1.644955e-05     
   0.010212       4.481320         -1.458397e-05     
   0.010212       4.675429         -1.271983e-05     
   0.010212       4.873108         -1.091403e-05     
   0.010212       5.073826         -9.210922e-06     
   0.010212       5.277040         -7.642441e-06     
   0.010212       5.482203         -6.228976e-06     
   0.010212       5.688763         -4.980784e-06     
   0.010212       5.896161         -3.899671e-06     
   0.010212       6.103839         -2.980763e-06     
   0.010212       6.311237         -2.214236e-06     
   0.010212       6.517797         -1.586887e-06     
   0.010212       6.722960         -1.083524e-06     
   0.010212       6.926174         -6.880931e-07     
   0.010212       7.126892         -3.845955e-07     
   0.010212       7.324571         -1.577686e-07     
   0.010212       7.518680         6.444948e-09      
   0.010212       7.708695         1.206047e-07      
   0.010212       7.894103         1.956316e-07      
   0.010212       8.074406         2.407867e-07      
   0.010212       8.249116         2.637371e-07      
   0.010212       8.417762         2.706850e-07      
   0.010212       8.579891         2.665338e-07      
   0.010212       8.735065         2.550680e-07      
   0.010212       8.882866         2.391339e-07      
   0.010212       9.022895         2.208169e-07      
   0.010212       9.154775         2.015880e-07      
   0.010212       9.278150         1.824510e-07      
   0.010212       9.392688         1.640405e-07      
   0.010212       9.498080         1.467286e-07      
   0.010212       9.594041         1.306843e-07      
   0.010212       9.680314         1.159331e-07      
   0.010212       9.756665         1.023974e-07      
   0.010212       9.822889         8.991242e-08      
   0.010212       9.878807         7.823468e-08      
   0.010212       9.924269         6.702526e-08      
   0.010212       9.959152         5.578040e-08      
   0.010212       9.983362         4.361239e-08      
   0.010212       9.996840         2.825943e-08      
   0.018933       0.000790         -9.035493e-10     
   0.018933       0.004159         -7.252295e-09     
   0.018933       0.010212         -2.224709e-08     
   0.018933       0.018933         1.000000e+00      
   0.018933       0.030298         -8.467269e-08     
   0.018933       0.044278         -1.321879e-07     
   0.018933       0.060834         -1.872752e-07     
   0.018933       0.079922         -2.435504e-07     
   0.018933       0.101490         -2.901484e-07     
   0.018933       0.125480         -3.105438e-07     
   0.018933       0.151828         -2.814810e-07     
   0.018933       0.180462         -1.721750e-07     
   0.018933       0.211306         5.604670e-08      
   0.018933       0.244276         4.495014e-07      
   0.018933       0.279283         1.061181e-06      
   0.018933       0.316234         1.948977e-06      
   0.018933       0.355027         3.173087e-06      
   0.018933       0.395559         4.792638e-06      
   0.018933       0.437721         6.861641e-06      
   0.018933       0.481399         9.424387e-06      
   0.018933       0.526474         1.251049e-05      
   0.018933       0.572826         1.612980e-05      
   0.018933       0.620330         2.026755e-05      
   0.018933       0.668857         2.488005e-05      
   0.018933       0.718277         2.989170e-05      
   0.018933       0.768456         3.519363e-05      
   0.018933       0.819260         4.064489e-05      
   0.018933       0.870551         4.607654e-05      
   0.018933       0.922191         5.129898e-05      
   0.018933       0.974040         5.611242e-05      
   0.018933       1.025960         6.031991e-05      
   0.018933       1.077809         6.374184e-05      
   0.018933       1.129449         6.623033e-05      
   0.018933       1.180740         6.768168e-05      
   0.018933       1.231544         6.804532e-05      
   0.018933       1.281723         6.732768e-05      
   0.018933       1.331143         6.559064e-05      
   0.018933       1.379670         6.294450e-05      
   0.018933       1.427174         5.953672e-05      
   0.018933       1.473526         5.553807e-05      
   0.018933       1.518601         5.112804e-05      
   0.018933       1.562279         4.648154e-05      
   0.018933       1.604441         4.175809e-05      
   0.018933       1.644973         3.709445e-05      
   0.018933       1.683766         3.260075e-05      
   0.018933       1.720717         2.835974e-05      
   0.018933       1.755724         2.442844e-05      
   0.018933       1.788694         2.084137e-05      
   0.018933       1.819538         1.761448e-05      
   0.018933       1.848172         1.474922e-05      
   0.018933       1.874520         1.223618e-05      
   0.018933       1.898510         1.005830e-05      
   0.018933       1.920078         8.193125e-06      
   0.018933       1.939166         6.614556e-06      
   0.018933       1.955722         5.293667e-06      
   0.018933       1.969702         4.198785e-06      
   0.018933       1.981067         3.294389e-06      
   0.018933       1.989788         2.537742e-06      
   0.018933       1.995841         1.868945e-06      
   0.018933       1.999210         1.168504e-06      
   0.018933       2.003160         2.203894e-06      
   0.018933       2.016638         2.676972e-06      
   0.018933       2.040848         1.859312e-06      
   0.018933       2.075731         -2.217733e-07     
   0.018933       2.121193         -3.515468e-06     
   0.018933       2.177111         -7.885454e-06     
   0.018933       2.243335         -1.311231e-05     
   0.018933       2.319686         -1.891338e-05     
   0.018933       2.405959         -2.496797e-05     
   0.018933       2.501920         -3.094262e-05     
   0.018933       2.607312         -3.651585e-05     
   0.018933       2.721850         -4.140235e-05     
   0.018933       2.845225         -4.537357e-05     
   0.018933       2.977105         -4.827093e-05     
   0.018933       3.117134         -5.001086e-05     
   0.018933       3.264935         -5.058288e-05     
   0.018933       3.420109         -5.004215e-05     
   0.018933       3.582238         -4.849796e-05     
   0.018933       3.750884         -4.609958e-05     
   0.018933       3.925594         -4.302117e-05     
   0.018933       4.105897         -3.944715e-05     
   0.018933       4.291305         -3.555932e-05     
   0.018933       4.481320         -3.152643e-05     
   0.018933       4.675429         -2.749667e-05     
   0.018933       4.873108         -2.359303e-05     
   0.018933       5.073826         -1.991140e-05     
   0.018933       5.277040         -1.652079e-05     
   0.018933       5.482203         -1.346528e-05     
   0.018933       5.688763         -1.076705e-05     
   0.018933       5.896161         -8.429995e-06     
   0.018933       6.103839         -6.443584e-06     
   0.018933       6.311237         -4.786576e-06     
   0.018933       6.517797         -3.430431e-06     
   0.018933       6.722960         -2.342306e-06     
   0.018933       6.926174         -1.487499e-06     
   0.018933       7.126892         -8.314239e-07     
   0.018933       7.324571         -3.410879e-07     
   0.018933       7.518680         1.389647e-08      
   0.018933       7.708695         2.606795e-07      
   0.018933       7.894103         4.228692e-07      
   0.018933       8.074406         5.204845e-07      
   0.018933       8.249116         5.700999e-07      
   0.018933       8.417762         5.851222e-07      
