#        q              total             1 term        \delta U term    \delta U^2 term  

     2.933583        1.776182e-03      1.196914e-15     -2.536535e-09      1.776185e-03   
     2.954553        1.721346e-03      6.233779e-16     -1.862032e-09      1.721348e-03   
     2.971601        1.677958e-03      3.620026e-16     -1.437410e-09      1.677959e-03   
     2.984682        1.645373e-03      2.369093e-16     -1.173286e-09      1.645374e-03   
     2.993761        1.623111e-03      1.761757e-16     -1.017329e-09      1.623112e-03   
     2.998815        1.610841e-03      1.496905e-16     -9.402207e-10      1.610842e-03   
     3.004739        1.596572e-03      1.202565e-16     -8.457827e-10      1.596573e-03   
     3.024957        1.548767e-03      5.788357e-17     -5.908598e-10      1.548768e-03   
     3.061273        1.466263e-03      1.538279e-17     -2.998108e-10      1.466263e-03   
     3.113597        1.354598e-03      2.357213e-18     -9.799784e-11      1.354598e-03   
     3.181789        1.220924e-03      3.444836e-19     -1.123525e-11      1.220924e-03   
     3.265666        1.073238e-03      6.378624e-20      6.463527e-12      1.073238e-03   
     3.365002        9.196339e-04      6.928065e-21      3.694533e-12      9.196339e-04   
     3.479529        7.676386e-04      2.849154e-22      8.365082e-13      7.676386e-04   
     3.608938        6.236804e-04      2.703411e-24      8.011920e-14      6.236804e-04   
     3.752880        4.927224e-04      9.924437e-28     -3.546372e-16      4.927224e-04   
     3.910968        3.780751e-04      2.193209e-28     -5.354871e-16      3.780751e-04   
     4.082775        2.813911e-04      5.814172e-31     -1.634544e-17      2.813911e-04   
     4.267838        2.028248e-04      2.861894e-32      4.759860e-18      2.028248e-04   
     4.465657        1.413185e-04      8.807863e-33      2.197549e-18      1.413185e-04   
     4.675701        9.496197e-05      5.188438e-32      2.191443e-18      9.496197e-05   
     4.897402        6.136429e-05      4.294791e-32      3.240545e-18      6.136429e-05   
     5.130163        3.798914e-05      1.837641e-32     -1.614786e-18      3.798914e-05   
     5.373356        2.241687e-05      4.876035e-32      1.876363e-18      2.241687e-05   
     5.626327        1.251918e-05      1.072467e-32     -6.272438e-19      1.251918e-05   
     5.888392        6.548442e-06      2.688725e-33      2.417191e-19      6.548442e-06   
     6.158845        3.156656e-06      7.041814e-33     -2.950070e-19      3.156656e-06   
     6.436958        1.364622e-06      3.400712e-33     -1.104045e-19      1.364622e-06   
     6.721980        5.026699e-07      7.527505e-33     -5.871305e-20      5.026699e-07   
     7.013143        1.409368e-07      9.847153e-33      4.814237e-20      1.409368e-07   
     7.309662        2.215492e-08      5.278499e-33     -1.885702e-20      2.215492e-08   
     7.610739        4.545844e-09      1.852645e-32     -1.459916e-21      4.545844e-09   
     7.915560        1.789260e-08      1.610946e-32     -3.357582e-20      1.789260e-08   
     8.223305        3.260766e-08      6.233135e-34     -8.731946e-21      3.260766e-08   
     8.533144        3.976975e-08      4.731242e-33     -2.637409e-20      3.976975e-08   
     8.844241        3.939176e-08      4.029445e-33     -6.959287e-21      3.939176e-08   
     9.155759        3.426556e-08      5.350167e-34      7.999754e-22      3.426556e-08   
     9.466856        2.720860e-08      6.527028e-34     -6.386564e-21      2.720860e-08   
     9.776695        2.015920e-08      1.032448e-32     -2.881942e-20      2.015920e-08   
    10.084440        1.412843e-08      8.041477e-34      3.125869e-21      1.412843e-08   
    10.389261        9.451315e-09      3.051935e-33     -1.019251e-20      9.451315e-09   
    10.690338        6.072472e-09      8.841931e-33     -1.462500e-20      6.072472e-09   
    10.986857        3.763412e-09      1.346686e-33     -1.777381e-21      3.763412e-09   
    11.278020        2.256370e-09      1.389358e-33     -2.554548e-21      2.256370e-09   
    11.563042        1.311318e-09      2.594065e-33     -3.565731e-21      1.311318e-09   
    11.841155        7.396236e-10      2.520971e-33      1.426252e-21      7.396236e-10   
    12.111608        4.052637e-10      5.949418e-34     -3.985249e-22      4.052637e-10   
    12.373673        2.161090e-10      2.958320e-33     -1.522101e-22      2.161090e-10   
    12.626644        1.127311e-10      9.208938e-34      2.851154e-22      1.127311e-10   
    12.869837        5.837299e-11      6.437781e-34     -1.521796e-22      5.837299e-11   
    13.102598        3.109102e-11      2.963169e-33     -1.321550e-22      3.109102e-11   
    13.324299        1.820546e-11      4.199707e-35     -1.118781e-23      1.820546e-11   
    13.534343        1.263777e-11      7.369204e-35     -2.027961e-23      1.263777e-11   
    13.732162        1.057425e-11      1.608870e-34     -1.378940e-23      1.057425e-11   
    13.917225        1.004416e-11      1.457746e-33      2.279205e-22      1.004416e-11   
    14.089032        1.008518e-11      5.145897e-34      2.128502e-23      1.008518e-11   
    14.247120        1.026171e-11      2.174081e-33      4.632120e-23      1.026171e-11   
    14.391062        1.039936e-11      7.900705e-34     -1.519502e-22      1.039936e-11   
    14.520471        1.044831e-11      9.054002e-34      1.612130e-22      1.044831e-11   
    14.634998        1.041409e-11      1.005430e-33      3.450364e-23      1.041409e-11   
    14.734334        1.032230e-11      1.141377e-29     -1.382149e-21      1.032230e-11   
    14.818211        1.020135e-11      1.029946e-25     -9.907966e-20      1.020135e-11   
    14.886403        1.007561e-11      1.167333e-22     -2.579733e-18      1.007561e-11   
    14.938727        9.963657e-12      1.862987e-20     -8.401933e-18      9.963665e-12   
    14.975043        9.878571e-12      3.805936e-19      8.289166e-17      9.878487e-12   
    14.995261        9.828711e-12      7.225409e-19     -2.875952e-16      9.828997e-12   
